ID_MASTER;Official_Name;Short_Name;Partner_Name reported;Member_Name;Headquarter Location;Member_Type;Member_Type_2;International_Local;Aggregator_operator;Region of activity;Sector
26;Coalition for Climate Resilient Investment;CCRI;Coalition for Climate Resilient Investment;ADB Asian Development Bank;No data;Bank;Investors, Finance and Credit Institutions;International;Operator;No data;No data
14;Ocean Risk and Resilience Action Alliance;ORRAA;Ocean Risk and Resilience Action Alliance;Asian Development Bank;Asia;Bank;Investors, Finance and Credit Institutions;International;Operator;Global;Multilateral Development Bank
18;Climate Resilient Housing;CRH;Climate Resilient Housing;Asian Development Bank;No data;Bank;Investors, Finance and Credit Institutions;International;Operator;No data;No data
14;Ocean Risk and Resilience Action Alliance;ORRAA;Ocean Risk and Resilience Action Alliance;Bank of America;North America;Bank;Investors, Finance and Credit Institutions;International;Operator;Global;Financial and insurance activities
18;Climate Resilient Housing;CRH;Climate Resilient Housing;Country Builders Bank Inc;No data;Bank;Investors, Finance and Credit Institutions;International;Operator;No data;No data
14;Ocean Risk and Resilience Action Alliance;ORRAA;Ocean Risk and Resilience Action Alliance;Deutsche Bank;Europa;Bank;Investors, Finance and Credit Institutions;International;Operator;Global;Financial and insurance activities
26;Coalition for Climate Resilient Investment;CCRI;Coalition for Climate Resilient Investment;European Bank;No data;Bank;Investors, Finance and Credit Institutions;International;Operator;No data;No data
26;Coalition for Climate Resilient Investment;CCRI;Coalition for Climate Resilient Investment;European Investment Bank;No data;Bank;Investors, Finance and Credit Institutions;International;Operator;No data;No data
18;Climate Resilient Housing;CRH;Climate Resilient Housing;Rural Bank of Gattaran, Cagayan;No data;Bank;Investors, Finance and Credit Institutions;International;Operator;No data;No data
13;Just Rural Transition;JRT;Just Rural Transition;Work Bank Gruop 2030 Water Resources Group ;No data;Bank;Investors, Finance and Credit Institutions;International;Operator;No data;No data
5;Efficiency for Access Coalition;EforA;Efficiency for Access;World Bank;Washington DC, US;Bank;Investors, Finance and Credit Institutions;International;Operator;Africa, Asia, Europe, Latin America;All
26;Coalition for Climate Resilient Investment;CCRI;Coalition for Climate Resilient Investment;World Bank;No data;Bank;Investors, Finance and Credit Institutions;International;Operator;No data;No data
18;Climate Resilient Housing;CRH;Climate Resilient Housing;World Bank;No data;Bank;Investors, Finance and Credit Institutions;International;Operator;No data;No data
27;Adaptation Research Alliance;ARA;Adaptation Research Alliance;Australian Centre for International Agriculture Research (ACIAR );Bruce, Australia;Centre;Research;Local;Operator;Africa, Asia, Oceania;A, M
27;Adaptation Research Alliance;ARA;Adaptation Research Alliance;Basque Centre for Climate Change (BC3);Leioa, Spain;Centre;Research;Local;Operator;Europe; M
16;RegionsAdapt;Regions4;RegionsAdapt;Basque Centre for Climate Change (BC3);Spain;Centre;Research;Local;Operator;Europe;No data
33;DARAJA (Resurgence);DARAJA;DARAJA (Resurgence);Caribbean Climate Innovation Center;No data;Centre;Research;Local;Operator;Local;No data
19;Risk-informed Early Action Partnership;REAP;Risk-informed Early Action Partnership;Caribbean Community Climate Change Centre (CCCCC);No data;Centre;Research;Local;Operator;No data;No data
27;Adaptation Research Alliance;ARA;Adaptation Research Alliance;Center for people and Environ (CPE);Bangladesh;Centre;Research;Local;Operator;Asia;M
27;Adaptation Research Alliance;ARA;Adaptation Research Alliance;Center for Study of Science, Technology and Policy (CSTEP);India;Centre;Research;Local;Operator;Asia;D, J
27;Adaptation Research Alliance;ARA;Adaptation Research Alliance;Centre for Agriculture and Bioscience International (CABI);United Kingdom;Centre;Research;Local;Operator;Africa, Europe, Asia, Latin America and the Caribbean, North America, Oceania;J, M
33;DARAJA (Resurgence);DARAJA;DARAJA (Resurgence);Centre for Community Initiatives (CCI);Dar es Salaam;Centre;Research;Local;Operator;Local;No data
13;Just Rural Transition;JRT;Just Rural Transition;Centre for International Forestry;No data;Centre;Research;Local;Operator;No data;No data
19;Risk-informed Early Action Partnership;REAP;Risk-informed Early Action Partnership;Centro Disaster Protection (CDP);No data;Centre;Research;Local;Operator;No data;No data
6;Extreme Heat Resilience Alliance;EHRA;Extreme Heat Resilience Alliance;Dr. Aaron Bernstein, Director, Center for Climate, Health, and the Global Environment at Harvard T.H. Chan School of Public Health (Harvard Chan C-CHANGE) ;No data;Centre;Research;Local;Operator;No data;No data
26;Coalition for Climate Resilient Investment;CCRI;Coalition for Climate Resilient Investment;Global Center on Adaptation;No data;Centre;Research;International;Operator;No data;No data
33;DARAJA (Resurgence);DARAJA;DARAJA (Resurgence);ICPAC (IGAD Climate Prediction and Applications Centre) ;No data;Centre;Research;International;Operator;Regional;No data
19;Risk-informed Early Action Partnership;REAP;Risk-informed Early Action Partnership;IGAD Climate Prediction and Application Centre (ICPAC);No data;Centre;Research;Local;Operator;No data;No data
27;Adaptation Research Alliance;ARA;Adaptation Research Alliance;International Centre for Climate Change and Development (ICCCAD);Bangladesh;Centre;Research;Local;Operator;Asia;M
27;Adaptation Research Alliance;ARA;Adaptation Research Alliance;International Centre for Integrated Mountain Development (ICIMOD);Nepal;Centre;Research;Local;Operator;Asia;M
19;Risk-informed Early Action Partnership;REAP;Risk-informed Early Action Partnership;International Centro for Tropical Agriculture (CIAT);No data;Centre;Research;Local;Operator;No data;No data
27;Adaptation Research Alliance;ARA;Adaptation Research Alliance;International Development Research Centre (IDRC);Canada;Centre;Research;International;Operator;Africa, Asia, Latin America and the Caribbean, North America;M
27;Adaptation Research Alliance;ARA;Adaptation Research Alliance;National Science and Technology Centre for Disaster Reduction (NCDR);Taiwan;Centre;Research;Local;Operator;Europe, Asia, Latin America and the Caribbean, North America, Oceania;M
19;Risk-informed Early Action Partnership;REAP;Risk-informed Early Action Partnership;Pacific Disaster Center (PDC);No data;Centre;Research;Local;Operator;No data;No data
14;Ocean Risk and Resilience Action Alliance;ORRAA;Ocean Risk and Resilience Action Alliance;Red Cross Red Crescent Climate Centre (RCCC);Latin America and the Caribbean;Centre;Research;Local;Operator;Global;0
19;Risk-informed Early Action Partnership;REAP;Risk-informed Early Action Partnership;Red Cross Red Crescent Climate Centre (RCCC);No data;Centre;Research;Local;Operator;No data;No data
33;DARAJA (Resurgence);DARAJA;DARAJA (Resurgence);Red Cross Red Crescent Climate Centre (RCCC);No data;Centre;Research;Local;Operator;Global;No data
26;Coalition for Climate Resilient Investment;CCRI;Coalition for Climate Resilient Investment;Red Cross Red Crescent Climate Centre (RCCC);No data;Centre;Research;Local;Operator;No data;No data
14;Ocean Risk and Resilience Action Alliance;ORRAA;Ocean Risk and Resilience Action Alliance;Red Cross Red Crescent Climate Centre (RCCC);Europa;Centre;Research;Local;Operator;Global;0
27;Adaptation Research Alliance;ARA;Adaptation Research Alliance;Red Cross Red Crescent Climate Centre (RCCC);United Kingdom;Centre;Research;Local;Operator;Europe;A,E,K,M,P,Q,S
27;Adaptation Research Alliance;ARA;Adaptation Research Alliance;Regional Resource Centre for Asia and the Pacific (RRC.AP);Thailand ;Centre;Research;Local;Operator;Asia;M,P,S
14;Ocean Risk and Resilience Action Alliance;ORRAA;Ocean Risk and Resilience Action Alliance;Stockholm Resilience Centre;Europa;Centre;Research;Local;Operator;Global;0
19;Risk-informed Early Action Partnership;REAP;Risk-informed Early Action Partnership;The affrican Centre of Meterological Aplication for Development (ACMAD);No data;Centre;Research;Local;Operator;No data;No data
6;Extreme Heat Resilience Alliance;EHRA;Extreme Heat Resilience Alliance;The Centre for Disaster Protection (Quality Assurance Part- ner);No data;Centre;Research;Local;Operator;No data;No data
14;Ocean Risk and Resilience Action Alliance;ORRAA;Ocean Risk and Resilience Action Alliance;The Stimson Center;North America;Centre;Research;Local;Operator;Global;0
19;Risk-informed Early Action Partnership;REAP;Risk-informed Early Action Partnership;The UCL Warning Research Centre;No data;Centre;Research;Local;Operator;No data;No data
7;Global Evergreening Alliance;GEGA;Global Evergreening Alliance;World Agroforestry Centre (CIFOR ICRAF);No data;Centre;Research;Local;Operator;No data;No data
8;Global Mangrove Alliance;GMA;Global Mangrove Alliance;ZMT Leibniz Centre for tropical marine research;No data;Centre;Research;Local;Operator;No data;No data
26;Coalition for Climate Resilient Investment;CCRI;Coalition for Climate Resilient Investment;AIR a Verisk Business;No data;Climate Risk Data;Investors, Finance and Credit Institutions;International;Operator;No data;No data
26;Coalition for Climate Resilient Investment;CCRI;Coalition for Climate Resilient Investment;Jupiter. Predecting risk in a changing climate;No data;Climate Risk Data;Investors, Finance and Credit Institutions;International;Operator;No data;No data
26;Coalition for Climate Resilient Investment;CCRI;Coalition for Climate Resilient Investment;Lobelia. Turning data into usefull information;No data;Climate Risk Data;Investors, Finance and Credit Institutions;International;Operator;No data;No data
26;Coalition for Climate Resilient Investment;CCRI;Coalition for Climate Resilient Investment;One Concern;No data;Climate Risk Data;Investors, Finance and Credit Institutions;International;Operator;No data;No data
26;Coalition for Climate Resilient Investment;CCRI;Coalition for Climate Resilient Investment;TRUCOST;No data;Climate Risk Data;Investors, Finance and Credit Institutions;International;Operator;No data;No data
26;Coalition for Climate Resilient Investment;CCRI;Coalition for Climate Resilient Investment;XDI Cross dependency Initiative;No data;Climate Risk Data;Investors, Finance and Credit Institutions;International;Operator;No data;No data
13;Just Rural Transition;JRT;Just Rural Transition;Food and Land Use Coalition (FOLU) ;No data;Coalition;Secondary organization;International;Aggregator;No data;No data
21;The Climakers;Climakers;The Climakers;The Food and Land Use Coalition ;No data;Coalition;Secondary organization;International;Aggregator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Alameda County;CA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Alexandria;VA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Ann Arbor;MI, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Arlington County;VA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Asheville;NC, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Austin;TX, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Baltimore;MD, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Boulder County;CO, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Calgary;Alberta, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Cambridge;MA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Chicago;IL, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;City & County of Hawaii;HI, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;City of Watsonville;CA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Cleveland;OH, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Columbia;MO, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Columbus;OH, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Contra Costa County;CA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Detroit;MI, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Duluth;MN, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Fort Collins;CO, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Fulton County;GA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Hanover;NH, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Hawaii County;HI, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Houston;TX, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Kansas City;KA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Kauai County;HI, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Los Angeles;CA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Madison;WI, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Manhattan Beach;CA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Maui County;HI, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Medford;MA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Miami Beach;FL, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Miami Dade County;FL, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Minneapolis;MN, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Mississauga;Ontario, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Montgomery County;MD, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Multnomah County;OR, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;New York;NY, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Newark;NJ, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;North Hampton;MA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Oakland;CA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Orlando;FL, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Peoria;AZ, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Philadelphia;PA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Portland;ME, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Portland;OR, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Providence;RI, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Richmond;CA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Richmond;VA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Sacramento;CA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;San Jose;CA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;San Leandro;CA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;San Luis Obispo;CA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;San Mateo County;CA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;San Rafael;CA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Santa Clara County;CA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Santa Monica;CA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Sonoma County;CA, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;South Portland;ME, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Springfield;MO, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;St. Petersburg;FL, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Tempe;AZ, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Thunder Bay;Canada, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Toronto;Ontario, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Tucson;AZ, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Vancouver;BC, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;Washington DC;DC, EEUU;Commited Community;Cities;Local;Operator;No data;No data
23;Urban Sustainability Directors Network (USDN) Resilience Hubs;USDN;USDN RESILIENCE HUBS;West Palm Beach;FL, EEUU;Commited Community;Cities;Local;Operator;No data;No data
18;Climate Resilient Housing;CRH;Climate Resilient Housing;Cardno;No data;Companies;Companies;International;Aggregator;No data;No data
24;Water Resilience Coalition;WRC;Water Resilience Organization;3M;No data;Companies;Companies;International;Operator;No data;No data
24;Water Resilience Coalition;WRC;Water Resilience Organization;ABInBev;No data;Companies;Companies;International;Operator;No data;No data
18;Climate Resilient Housing;CRH;Climate Resilient Housing;Airbnb.org ;No data;Companies;Companies;International;Operator;Global;No data
18;Climate Resilient Housing;CRH;Climate Resilient Housing;All Nippon Airways (ANA) Arup;No data;Companies;Companies;International;Operator;No data;No data
13;Just Rural Transition;JRT;Just Rural Transition;Barry Callebaut ;No data;Companies;Companies;International;Operator;No data;No data
24;Water Resilience Coalition;WRC;Water Resilience Organization;BAYER;No data;Companies;Companies;International;Operator;No data;No data
6;Extreme Heat Resilience Alliance;EHRA;Extreme Heat Resilience Alliance;Bechtel ;No data;Companies;Companies;International;Operator;No data;No data
24;Water Resilience Coalition;WRC;Water Resilience Organization;Braskem;No data;Companies;Companies;International;Operator;No data;No data
24;Water Resilience Coalition;WRC;Water Resilience Organization;Cargill ;No data;Companies;Companies;International;Operator;No data;No data
7;Global Evergreening Alliance;GEGA;Global Evergreening Alliance;Cassinia Enviromental;No data;Companies;Companies;International;Operator;No data;No data
18;Climate Resilient Housing;CRH;Climate Resilient Housing;CISCO;No data;Companies;Companies;International;Operator;No data;No data
24;Water Resilience Coalition;WRC;Water Resilience Organization;Danone;No data;Companies;Companies;International;Operator;No data;No data
7;Global Evergreening Alliance;GEGA;Global Evergreening Alliance;ECHO, Inc.;No data;Companies;Companies;International;Operator;No data;No data
13;Just Rural Transition;JRT;Just Rural Transition;ECOM Agrotrade Limited ;No data;Companies;Companies;International;Operator;No data;No data
18;Climate Resilient Housing;CRH;Climate Resilient Housing;Fulcrum;No data;Companies;Companies;International;Operator;No data;No data
24;Water Resilience Coalition;WRC;Water Resilience Organization;Gap Inc. ;No data;Companies;Companies;International;Operator;No data;No data
24;Water Resilience Coalition;WRC;Water Resilience Organization;GSK;No data;Companies;Companies;International;Operator;No data;No data
24;Water Resilience Coalition;WRC;Water Resilience Organization;HEINEKEN;No data;Companies;Companies;International;Operator;No data;No data
19;Risk-informed Early Action Partnership;REAP;Risk-informed Early Action Partnership;Howden group;No data;Companies;Companies;International;Operator;No data;No data
13;Just Rural Transition;JRT;Just Rural Transition;Husk Power Systems ;No data;Companies;Companies;International;Operator;No data;No data
18;Climate Resilient Housing;CRH;Climate Resilient Housing;IBM;No data;Companies;Companies;International;Operator;No data;No data
